TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1559877615320	0.000000	0.000000	-26.889431	1.000000	-0.000000	0.000000	0.000000	img__0_1559877615315084500.png
1559877615641	0.000000	0.000000	-26.889431	1.000000	-0.000000	0.000000	0.000000	img__0_1559877615636069000.png
1559877615974	0.000000	0.000000	-26.889431	1.000000	-0.000000	0.000000	0.000000	img__0_1559877615970177000.png
1559877616286	0.000000	0.000000	-26.889431	1.000000	-0.000000	0.000000	0.000000	img__0_1559877616280507300.png
1559877616616	0.000000	0.000000	-26.889431	1.000000	-0.000000	0.000000	0.000000	img__0_1559877616609938700.png
1559877616985	0.000000	0.000000	-26.889431	0.998630	-0.000000	0.052336	0.000000	img__0_1559877616976372400.png
1559877617284	0.000000	0.000000	-26.889431	0.992546	-0.000000	0.121869	0.000000	img__0_1559877617279531800.png
1559877617582	0.000000	0.000000	-26.889431	0.983255	-0.000000	0.182235	0.000000	img__0_1559877617576743000.png
1559877617874	0.000000	0.000000	-26.889431	0.989016	-0.000000	0.147809	0.000000	img__0_1559877617871260700.png
1559877618170	0.000000	0.000000	-26.889431	0.997564	-0.000000	0.069755	0.000000	img__0_1559877618163407400.png
1559877618498	0.000000	0.000000	-26.889431	1.000000	0.000000	-0.000001	0.000000	img__0_1559877618491459600.png
1559877618824	0.000000	0.000000	-26.889431	0.998629	0.000000	-0.052337	0.000000	img__0_1559877618817558700.png
1559877619220	2.704569	0.000000	-26.605164	0.998629	0.000000	-0.052337	0.000000	img__0_1559877619212751200.png
1559877619564	6.046916	0.000000	-26.253864	0.998629	0.000000	-0.052337	0.000000	img__0_1559877619559697100.png
1559877619892	9.654773	0.000000	-25.874657	0.998629	0.000000	-0.052337	0.000000	img__0_1559877619886931400.png
1559877620249	10.040477	0.000000	-25.834118	0.999391	0.000000	-0.034901	0.000000	img__0_1559877620242687500.png
1559877620591	10.040477	0.000000	-25.834118	0.995396	0.000000	-0.095847	0.000000	img__0_1559877620586809100.png
1559877620940	10.040477	0.000000	-25.834118	0.984808	0.000000	-0.173649	0.000000	img__0_1559877620932543600.png
1559877621342	11.383280	0.000000	-25.207954	0.976296	0.000000	-0.216441	0.000000	img__0_1559877621334228300.png
1559877621721	14.814197	0.000000	-23.608086	0.976296	0.000000	-0.216441	0.000000	img__0_1559877621714971300.png
1559877622095	15.903339	0.000000	-23.100204	0.978147	0.000000	-0.207913	0.000000	img__0_1559877622089091500.png
1559877622460	15.903339	0.000000	-23.100204	0.987688	0.000000	-0.156436	0.000000	img__0_1559877622453714900.png
1559877622823	15.903339	0.000000	-23.100204	0.992546	0.000000	-0.121870	0.000000	img__0_1559877622814507200.png
1559877623211	15.903339	0.000000	-23.100204	0.999391	0.000000	-0.034901	0.000000	img__0_1559877623202221200.png
1559877623545	15.903339	0.000000	-23.100204	0.999657	0.000000	-0.026178	0.000000	img__0_1559877623538779900.png
1559877623870	15.903339	0.000000	-23.100204	0.999657	0.000000	-0.026178	0.000000	img__0_1559877623863250700.png
1559877624204	15.903339	0.000000	-23.100204	0.999657	0.000000	-0.026178	0.000000	img__0_1559877624199163900.png
1559877624522	15.903339	0.000000	-23.100204	0.999657	0.000000	-0.026178	0.000000	img__0_1559877624518976400.png
