# distance, SNR
6.482532501220703125e+00,1.852964591979980469e+01
6.480275630950927734e+00,1.753668975830078125e+01
6.478423118591308594e+00,1.874150466918945312e+01
6.488698482513427734e+00,1.988304328918457031e+01
6.477883338928222656e+00,1.757468414306640625e+01
6.477210044860839844e+00,1.872015762329101562e+01
6.489533901214599609e+00,1.989234542846679688e+01
6.486055374145507812e+00,2.002126693725585938e+01
6.483116626739501953e+00,1.867238998413085938e+01
6.485905647277832031e+00,1.887125396728515625e+01
6.484703063964843750e+00,1.999763298034667969e+01
6.480773448944091797e+00,1.960342025756835938e+01
6.484138965606689453e+00,1.870513916015625000e+01
6.480952739715576172e+00,1.856121444702148438e+01
6.482515335083007812e+00,1.927445983886718750e+01
6.483391761779785156e+00,1.950668716430664062e+01
6.488169193267822266e+00,1.942143630981445312e+01
6.485372543334960938e+00,1.886408233642578125e+01
6.482933044433593750e+00,1.924376106262207031e+01
6.481058120727539062e+00,1.844105720520019531e+01
6.486442089080810547e+00,1.981681442260742188e+01
6.488059043884277344e+00,2.011764717102050781e+01
6.487659454345703125e+00,2.040743637084960938e+01
6.485470294952392578e+00,1.962536811828613281e+01
6.484257698059082031e+00,1.909689140319824219e+01
6.488359451293945312e+00,2.014653205871582031e+01
6.490340232849121094e+00,2.108480072021484375e+01
6.481324195861816406e+00,1.901281547546386719e+01
6.485672950744628906e+00,1.900693130493164062e+01
6.486003875732421875e+00,2.027142524719238281e+01
6.489847660064697266e+00,2.092661857604980469e+01
6.484940528869628906e+00,2.088285636901855469e+01
6.485893726348876953e+00,1.923739242553710938e+01
6.485446929931640625e+00,2.017110824584960938e+01
6.490777969360351562e+00,2.057982254028320312e+01
6.486804485321044922e+00,1.992624473571777344e+01
6.490705966949462891e+00,2.123044013977050781e+01
6.482945919036865234e+00,2.017285919189453125e+01
6.484454631805419922e+00,1.970289802551269531e+01
6.480303764343261719e+00,1.817336654663085938e+01
6.479891777038574219e+00,1.904227066040039062e+01
6.488262176513671875e+00,2.108848571777343750e+01
6.488499164581298828e+00,2.050632286071777344e+01
6.481040477752685547e+00,1.834244728088378906e+01
6.485022544860839844e+00,2.113673973083496094e+01
6.483155727386474609e+00,1.934184265136718750e+01
6.481772899627685547e+00,1.893683242797851562e+01
6.484240055084228516e+00,2.067742919921875000e+01
6.554678440093994141e+00,2.151458740234375000e+01
6.482699394226074219e+00,1.937211799621582031e+01
6.481735229492187500e+00,1.948066902160644531e+01
6.485581398010253906e+00,1.935343742370605469e+01
6.484899044036865234e+00,1.934493827819824219e+01
6.488610267639160156e+00,2.042559623718261719e+01
6.488509178161621094e+00,1.882655143737792969e+01
6.485704421997070312e+00,1.936562728881835938e+01
6.487909317016601562e+00,2.006286811828613281e+01
6.486532211303710938e+00,2.021526336669921875e+01
6.482446193695068359e+00,1.900377655029296875e+01
6.485195159912109375e+00,1.887135505676269531e+01
6.486668109893798828e+00,1.928802299499511719e+01
6.484806537628173828e+00,2.011281585693359375e+01
6.474205493927001953e+00,1.728623390197753906e+01
6.485036849975585938e+00,2.079071998596191406e+01
6.489543914794921875e+00,2.038910865783691406e+01
6.488651275634765625e+00,2.123641586303710938e+01
6.489790439605712891e+00,2.070851898193359375e+01
6.481114387512207031e+00,1.883830261230468750e+01
6.483475685119628906e+00,1.901638412475585938e+01
6.483386039733886719e+00,1.911538314819335938e+01
6.485267162322998047e+00,1.937766075134277344e+01
6.487183094024658203e+00,2.047698783874511719e+01
6.489911079406738281e+00,2.173521041870117188e+01
6.485522747039794922e+00,1.937751960754394531e+01
6.482948303222656250e+00,1.972219467163085938e+01
6.489779472351074219e+00,1.933941268920898438e+01
6.487773895263671875e+00,2.115861701965332031e+01
6.484967708587646484e+00,1.909548759460449219e+01
6.480369567871093750e+00,1.819486999511718750e+01
6.483206272125244141e+00,1.881997489929199219e+01
6.482989311218261719e+00,1.866316413879394531e+01
6.485711097717285156e+00,1.989600181579589844e+01
6.491928100585937500e+00,2.056054306030273438e+01
6.488715648651123047e+00,2.028064346313476562e+01
6.490367889404296875e+00,2.052491760253906250e+01
6.482105255126953125e+00,1.885747718811035156e+01
6.487709999084472656e+00,1.980048370361328125e+01
6.483512401580810547e+00,1.957936096191406250e+01
6.484213352203369141e+00,1.951620674133300781e+01
6.484009742736816406e+00,1.930285644531250000e+01
6.485087871551513672e+00,2.034886169433593750e+01
6.487362384796142578e+00,1.968155288696289062e+01
6.485795497894287109e+00,1.864165115356445312e+01
6.486599922180175781e+00,2.015203285217285156e+01
6.481495857238769531e+00,1.839692687988281250e+01
6.481517314910888672e+00,1.934282875061035156e+01
6.480394363403320312e+00,1.809917259216308594e+01
6.483988285064697266e+00,1.949632835388183594e+01
6.486219406127929688e+00,1.986237525939941406e+01
6.487771511077880859e+00,2.048936462402343750e+01
