# distance, SNR
6.481110095977783203e+00,2.473604965209960938e+01
6.472325325012207031e+00,2.404681205749511719e+01
6.479212284088134766e+00,2.521217155456542969e+01
6.243538379669189453e+00,2.148571395874023438e+01
6.310436248779296875e+00,2.237876129150390625e+01
6.233728885650634766e+00,2.077909851074218750e+01
6.442910671234130859e+00,2.365487670898437500e+01
6.243463993072509766e+00,2.136907386779785156e+01
6.358562469482421875e+00,1.947742080688476562e+01
6.311264991760253906e+00,1.991552162170410156e+01
6.331251621246337891e+00,2.097448730468750000e+01
6.461553096771240234e+00,2.606602478027343750e+01
6.247734069824218750e+00,2.071705245971679688e+01
6.245125770568847656e+00,2.057411003112792969e+01
6.246851921081542969e+00,2.104496383666992188e+01
6.367247104644775391e+00,2.441920280456542969e+01
6.483558177947998047e+00,2.662721824645996094e+01
6.450765132904052734e+00,2.657050132751464844e+01
6.242340087890625000e+00,2.127906608581542969e+01
6.336740970611572266e+00,2.004401969909667969e+01
6.243456363677978516e+00,2.276754379272460938e+01
6.446063041687011719e+00,2.381904220581054688e+01
6.442812442779541016e+00,2.326062011718750000e+01
6.480467796325683594e+00,2.467381668090820312e+01
6.484457015991210938e+00,2.497681045532226562e+01
6.480225086212158203e+00,2.375806617736816406e+01
6.482095718383789062e+00,2.653231430053710938e+01
6.456695079803466797e+00,2.226980400085449219e+01
6.479815006256103516e+00,2.616401290893554688e+01
6.466758728027343750e+00,2.485768318176269531e+01
6.478176116943359375e+00,2.382474899291992188e+01
6.366284847259521484e+00,2.534097671508789062e+01
6.452985286712646484e+00,2.409594726562500000e+01
6.475780963897705078e+00,2.268314743041992188e+01
6.460064888000488281e+00,2.293296813964843750e+01
6.471067428588867188e+00,2.598236274719238281e+01
6.481697082519531250e+00,2.503625679016113281e+01
6.479736328125000000e+00,2.449870300292968750e+01
6.337378501892089844e+00,2.053031921386718750e+01
6.470997333526611328e+00,2.498004150390625000e+01
6.478730201721191406e+00,2.583254814147949219e+01
6.346225738525390625e+00,2.310960006713867188e+01
6.359227180480957031e+00,2.283052062988281250e+01
6.350556373596191406e+00,2.223444938659667969e+01
6.462731361389160156e+00,2.415876388549804688e+01
6.442285537719726562e+00,2.220325851440429688e+01
6.247541904449462891e+00,2.024416923522949219e+01
6.467494010925292969e+00,2.549251747131347656e+01
6.453793525695800781e+00,2.404576301574707031e+01
6.334032058715820312e+00,2.219250106811523438e+01
6.453321456909179688e+00,2.454352188110351562e+01
6.465434551239013672e+00,2.595762062072753906e+01
6.242063999176025391e+00,1.842337989807128906e+01
6.473316192626953125e+00,2.423998832702636719e+01
6.359355449676513672e+00,2.078420639038085938e+01
6.243685245513916016e+00,1.940010261535644531e+01
6.472848892211914062e+00,2.374078750610351562e+01
6.364360332489013672e+00,2.329655647277832031e+01
6.468046665191650391e+00,2.440737915039062500e+01
6.246093273162841797e+00,2.291180610656738281e+01
6.246274948120117188e+00,2.053945541381835938e+01
6.435621261596679688e+00,2.530730247497558594e+01
6.464275360107421875e+00,2.552299308776855469e+01
6.356717109680175781e+00,2.423368453979492188e+01
6.465286731719970703e+00,2.484212875366210938e+01
6.442159652709960938e+00,2.213418579101562500e+01
6.454308509826660156e+00,2.546112060546875000e+01
6.242983341217041016e+00,2.053816223144531250e+01
6.469913959503173828e+00,2.615497207641601562e+01
6.470132827758789062e+00,2.326267623901367188e+01
6.362678050994873047e+00,2.062831878662109375e+01
6.468386173248291016e+00,2.526185035705566406e+01
6.243566513061523438e+00,2.198604583740234375e+01
6.474769592285156250e+00,2.568731117248535156e+01
6.453111648559570312e+00,2.458870124816894531e+01
6.330248355865478516e+00,2.087973403930664062e+01
6.363039970397949219e+00,2.352228164672851562e+01
6.469749450683593750e+00,2.360894966125488281e+01
6.468982219696044922e+00,2.277909088134765625e+01
6.343476295471191406e+00,2.065351676940917969e+01
6.477294445037841797e+00,2.445186805725097656e+01
6.357415676116943359e+00,2.361032295227050781e+01
6.355202198028564453e+00,2.367612838745117188e+01
6.314589500427246094e+00,2.107026672363281250e+01
6.365020275115966797e+00,2.303472137451171875e+01
6.466256141662597656e+00,2.361921310424804688e+01
6.363758563995361328e+00,2.145245361328125000e+01
6.361334323883056641e+00,2.426342391967773438e+01
6.356993675231933594e+00,2.132333374023437500e+01
6.453237533569335938e+00,2.315649795532226562e+01
6.469047546386718750e+00,2.539254760742187500e+01
6.242512226104736328e+00,2.155816268920898438e+01
6.437736511230468750e+00,2.380189132690429688e+01
6.455925464630126953e+00,2.397612380981445312e+01
6.441558361053466797e+00,2.485469436645507812e+01
6.448571681976318359e+00,2.399116706848144531e+01
6.460022926330566406e+00,2.308613014221191406e+01
6.473400592803955078e+00,2.398506164550781250e+01
6.456730365753173828e+00,2.456104087829589844e+01
6.310710430145263672e+00,2.272459793090820312e+01
