# distance, SNR
6.480139732360839844e+00,2.855231285095214844e+01
6.479810237884521484e+00,2.874135971069335938e+01
6.474760532379150391e+00,2.813632011413574219e+01
6.475843906402587891e+00,3.046481704711914062e+01
6.477552413940429688e+00,2.862284088134765625e+01
6.481029510498046875e+00,2.726725578308105469e+01
6.482242107391357422e+00,2.565893554687500000e+01
6.475175380706787109e+00,2.506750106811523438e+01
6.475428581237792969e+00,2.423279953002929688e+01
6.474049568176269531e+00,2.448756790161132812e+01
6.474597930908203125e+00,2.513784027099609375e+01
6.476029396057128906e+00,2.589021492004394531e+01
6.480062484741210938e+00,2.711355972290039062e+01
6.480273723602294922e+00,2.814449501037597656e+01
6.480008602142333984e+00,2.693980026245117188e+01
6.479772567749023438e+00,2.827026367187500000e+01
6.477563381195068359e+00,2.894445419311523438e+01
6.478672504425048828e+00,2.970305442810058594e+01
6.478671073913574219e+00,2.927161788940429688e+01
6.479506015777587891e+00,2.811452674865722656e+01
6.479766368865966797e+00,2.922141265869140625e+01
6.480437278747558594e+00,2.829607391357421875e+01
6.480267047882080078e+00,2.853188514709472656e+01
6.479587078094482422e+00,2.841924285888671875e+01
6.477146148681640625e+00,2.735245132446289062e+01
6.471791267395019531e+00,2.943698883056640625e+01
6.469940185546875000e+00,2.925127220153808594e+01
6.463404178619384766e+00,2.861688995361328125e+01
6.459579944610595703e+00,2.963443946838378906e+01
6.461775779724121094e+00,2.976624298095703125e+01
6.473282814025878906e+00,2.959878730773925781e+01
6.478792667388916016e+00,2.874470138549804688e+01
6.481133937835693359e+00,2.785792350769042969e+01
6.481439113616943359e+00,2.778396606445312500e+01
6.481613636016845703e+00,2.788554191589355469e+01
6.482204914093017578e+00,2.928868484497070312e+01
6.480905532836914062e+00,2.726531600952148438e+01
6.481027126312255859e+00,2.819674682617187500e+01
6.481283187866210938e+00,2.832122039794921875e+01
6.480672836303710938e+00,2.688178253173828125e+01
6.480531692504882812e+00,2.788782119750976562e+01
6.480437755584716797e+00,2.548281860351562500e+01
6.474103927612304688e+00,2.413285064697265625e+01
6.470981597900390625e+00,2.525008773803710938e+01
6.476643562316894531e+00,2.537239265441894531e+01
6.479661464691162109e+00,2.653463745117187500e+01
6.481698513031005859e+00,2.799131393432617188e+01
6.478861808776855469e+00,2.736620140075683594e+01
6.480740547180175781e+00,2.686201095581054688e+01
6.477618217468261719e+00,2.762008666992187500e+01
6.480742931365966797e+00,2.837506294250488281e+01
6.481534481048583984e+00,2.759746932983398438e+01
6.479341983795166016e+00,2.727299880981445312e+01
6.481707096099853516e+00,2.761484909057617188e+01
6.480645656585693359e+00,2.797145462036132812e+01
6.481331348419189453e+00,2.688341331481933594e+01
6.481146335601806641e+00,2.759788894653320312e+01
6.478820800781250000e+00,2.758568572998046875e+01
6.477457046508789062e+00,2.526119613647460938e+01
6.477264404296875000e+00,2.670528602600097656e+01
6.474388599395751953e+00,2.407646560668945312e+01
6.468057632446289062e+00,2.538077354431152344e+01
6.467972755432128906e+00,2.465341758728027344e+01
6.470472335815429688e+00,2.445939636230468750e+01
6.469610214233398438e+00,2.579704666137695312e+01
6.477556705474853516e+00,2.645059585571289062e+01
6.482225418090820312e+00,2.911547660827636719e+01
6.480291366577148438e+00,2.755148315429687500e+01
6.479684352874755859e+00,2.675320816040039062e+01
6.480918884277343750e+00,2.941866874694824219e+01
6.481050968170166016e+00,2.883059692382812500e+01
6.480693340301513672e+00,2.815423202514648438e+01
6.481499671936035156e+00,3.006679725646972656e+01
6.480612754821777344e+00,2.829675674438476562e+01
6.479830741882324219e+00,2.875095748901367188e+01
6.479530334472656250e+00,2.733017349243164062e+01
6.481437683105468750e+00,2.863761138916015625e+01
6.480692386627197266e+00,2.826676368713378906e+01
6.481411933898925781e+00,2.968956375122070312e+01
6.480903148651123047e+00,2.925220298767089844e+01
6.479477882385253906e+00,2.786184310913085938e+01
6.480059623718261719e+00,3.045447158813476562e+01
6.479598045349121094e+00,2.844023132324218750e+01
6.477766990661621094e+00,2.861347007751464844e+01
6.479379653930664062e+00,2.882032585144042969e+01
6.477972507476806641e+00,2.835602188110351562e+01
6.478569507598876953e+00,3.030967712402343750e+01
6.478420257568359375e+00,2.754184532165527344e+01
6.479964733123779297e+00,2.869109916687011719e+01
6.481503486633300781e+00,2.968281173706054688e+01
6.479639530181884766e+00,2.812646484375000000e+01
6.479395389556884766e+00,2.872469711303710938e+01
6.478756427764892578e+00,2.964261245727539062e+01
6.480724334716796875e+00,2.862005233764648438e+01
6.480286598205566406e+00,2.919223594665527344e+01
6.480810642242431641e+00,2.626671981811523438e+01
6.478741168975830078e+00,2.897381973266601562e+01
6.481251239776611328e+00,2.844974136352539062e+01
6.478628635406494141e+00,2.727486610412597656e+01
6.480022430419921875e+00,2.855680847167968750e+01
