# distance, SNR
4.484204351902008057e-01,1.956198120117187500e+01
1.331466436386108398e-01,1.808228111267089844e+01
2.159226834774017334e-01,1.947177505493164062e+01
2.305630147457122803e-01,1.896733474731445312e+01
2.374335229396820068e-01,1.899780654907226562e+01
1.380553841590881348e-01,1.874415588378906250e+01
2.225384116172790527e-01,1.724801445007324219e+01
1.329009830951690674e-01,1.805769920349121094e+01
2.248493731021881104e-01,1.975247955322265625e+01
2.117597460746765137e-01,1.878096008300781250e+01
1.373546719551086426e-01,1.935055923461914062e+01
2.254475653171539307e-01,1.996969604492187500e+01
4.484204351902008057e-01,2.038255310058593750e+01
2.088220715522766113e-01,1.888263702392578125e+01
2.153452634811401367e-01,1.839764404296875000e+01
1.361234486103057861e-01,1.767849922180175781e+01
2.105930447578430176e-01,1.814819908142089844e+01
2.270978391170501709e-01,1.856441307067871094e+01
4.484204351902008057e-01,1.906835174560546875e+01
1.423334181308746338e-01,1.926595878601074219e+01
4.484204351902008057e-01,1.950850105285644531e+01
2.161931693553924561e-01,1.722610282897949219e+01
2.064417004585266113e-01,1.938188934326171875e+01
1.398399770259857178e-01,1.867260360717773438e+01
1.409115493297576904e-01,1.801219177246093750e+01
2.174494862556457520e-01,1.921414566040039062e+01
1.425537168979644775e-01,1.731536483764648438e+01
4.484204351902008057e-01,1.890911293029785156e+01
2.143510580062866211e-01,1.818753051757812500e+01
2.089994847774505615e-01,1.902474594116210938e+01
4.484204351902008057e-01,1.915053367614746094e+01
2.136922478675842285e-01,1.889288330078125000e+01
1.409543156623840332e-01,1.764449119567871094e+01
1.398464143276214600e-01,1.821782112121582031e+01
2.076627910137176514e-01,2.154701614379882812e+01
2.361045181751251221e-01,1.970234298706054688e+01
1.372051239013671875e-01,1.877298545837402344e+01
2.068791985511779785e-01,2.032821464538574219e+01
1.394328474998474121e-01,1.897546386718750000e+01
2.255021333694458008e-01,1.854335212707519531e+01
1.352676451206207275e-01,1.901338768005371094e+01
2.344762682914733887e-01,1.955884552001953125e+01
2.263001501560211182e-01,2.006357002258300781e+01
1.373339891433715820e-01,1.939736175537109375e+01
2.128143310546875000e-01,2.027405929565429688e+01
1.362136602401733398e-01,2.092101669311523438e+01
1.388611495494842529e-01,1.848035430908203125e+01
2.214525640010833740e-01,1.781935310363769531e+01
2.072769105434417725e-01,1.963295555114746094e+01
2.119319736957550049e-01,1.882403564453125000e+01
1.324744522571563721e-01,1.987909507751464844e+01
1.403948962688446045e-01,1.759270286560058594e+01
1.425992250442504883e-01,1.940213394165039062e+01
1.393618583679199219e-01,1.984879302978515625e+01
4.484204351902008057e-01,1.973901176452636719e+01
1.395001113414764404e-01,1.851255607604980469e+01
1.337833404541015625e-01,1.965697669982910156e+01
1.429284811019897461e-01,1.837455177307128906e+01
1.250551342964172363e-01,1.740208244323730469e+01
2.261896729469299316e-01,2.002031707763671875e+01
1.394372880458831787e-01,1.900188064575195312e+01
2.188283801078796387e-01,2.018843841552734375e+01
1.406539082527160645e-01,1.775188636779785156e+01
2.251036465167999268e-01,1.917219543457031250e+01
1.371321976184844971e-01,1.899579238891601562e+01
2.286712527275085449e-01,2.035283088684082031e+01
1.384370326995849609e-01,1.892911338806152344e+01
2.231273353099822998e-01,1.930769348144531250e+01
4.484204351902008057e-01,1.905521774291992188e+01
1.416292488574981689e-01,1.733146095275878906e+01
2.382061481475830078e-01,2.004470634460449219e+01
2.352610230445861816e-01,1.978961181640625000e+01
1.376762688159942627e-01,1.931219291687011719e+01
1.379052996635437012e-01,1.871268844604492188e+01
1.320813894271850586e-01,1.938381958007812500e+01
2.172859013080596924e-01,1.968590736389160156e+01
1.235906556248664856e-01,1.795880699157714844e+01
2.104772329330444336e-01,1.900691604614257812e+01
4.484204351902008057e-01,1.865390396118164062e+01
1.399412751197814941e-01,1.874607276916503906e+01
2.172836363315582275e-01,1.797929000854492188e+01
1.395898461341857910e-01,1.903904151916503906e+01
2.181917726993560791e-01,1.945447731018066406e+01
1.419213414192199707e-01,1.970671081542968750e+01
2.170187830924987793e-01,1.837053489685058594e+01
2.260960340499877930e-01,1.922009086608886719e+01
1.378384530544281006e-01,1.888203620910644531e+01
2.231200337409973145e-01,2.006859779357910156e+01
2.257227599620819092e-01,1.925408172607421875e+01
1.367523968219757080e-01,1.909699630737304688e+01
2.191616296768188477e-01,1.834611511230468750e+01
4.484204351902008057e-01,1.983475494384765625e+01
4.484204351902008057e-01,1.886078453063964844e+01
1.339914500713348389e-01,1.786886024475097656e+01
1.336176395416259766e-01,1.960032653808593750e+01
1.430679857730865479e-01,1.870588111877441406e+01
1.401933729648590088e-01,1.825593376159667969e+01
4.484204351902008057e-01,2.034794235229492188e+01
2.111058235168457031e-01,2.092292785644531250e+01
2.084493041038513184e-01,2.030061721801757812e+01
