# distance, SNR
6.586051464080810547e+00,2.146340560913085938e+01
6.578977584838867188e+00,2.136375236511230469e+01
6.577111721038818359e+00,2.079328155517578125e+01
6.567210197448730469e+00,1.898957061767578125e+01
6.578765869140625000e+00,2.106845664978027344e+01
6.562617778778076172e+00,1.890725326538085938e+01
6.577449321746826172e+00,2.168097686767578125e+01
6.582437515258789062e+00,2.130002593994140625e+01
6.581599235534667969e+00,2.172424697875976562e+01
6.568744182586669922e+00,1.977094268798828125e+01
6.562700748443603516e+00,1.992067527770996094e+01
6.585610389709472656e+00,2.014560317993164062e+01
6.567413330078125000e+00,2.093887519836425781e+01
6.573926448822021484e+00,1.956332397460937500e+01
6.577213287353515625e+00,2.131461906433105469e+01
6.579563617706298828e+00,2.008388900756835938e+01
6.565657138824462891e+00,2.026811981201171875e+01
6.577298164367675781e+00,2.185180282592773438e+01
6.584369182586669922e+00,2.224002647399902344e+01
6.571921348571777344e+00,2.152322578430175781e+01
6.582100391387939453e+00,2.030754852294921875e+01
6.574306488037109375e+00,2.061180305480957031e+01
6.573634624481201172e+00,2.094091224670410156e+01
6.571882247924804688e+00,2.030338668823242188e+01
6.575228214263916016e+00,1.940811920166015625e+01
6.574829101562500000e+00,2.181447029113769531e+01
6.576605319976806641e+00,1.929548263549804688e+01
6.585184574127197266e+00,2.166467666625976562e+01
6.574462890625000000e+00,2.094264793395996094e+01
6.580097198486328125e+00,2.137910652160644531e+01
6.566458702087402344e+00,2.037711906433105469e+01
6.584925651550292969e+00,1.922186088562011719e+01
6.568602561950683594e+00,2.148236274719238281e+01
6.564851284027099609e+00,1.996709060668945312e+01
6.571966171264648438e+00,2.011903953552246094e+01
6.575121402740478516e+00,1.996722984313964844e+01
6.577062129974365234e+00,2.029428100585937500e+01
6.579972267150878906e+00,2.193895149230957031e+01
6.554296493530273438e+00,1.971112442016601562e+01
6.576157569885253906e+00,1.947599792480468750e+01
6.569183826446533203e+00,2.145086479187011719e+01
6.579791069030761719e+00,2.086387252807617188e+01
6.572973728179931641e+00,2.065297698974609375e+01
6.570534706115722656e+00,2.132913970947265625e+01
6.578285217285156250e+00,2.049164772033691406e+01
6.577885627746582031e+00,2.076530647277832031e+01
6.490727424621582031e+00,1.949580192565917969e+01
6.581046104431152344e+00,1.980662536621093750e+01
6.580718517303466797e+00,2.083650588989257812e+01
6.567154407501220703e+00,1.910875511169433594e+01
6.569938182830810547e+00,2.051263999938964844e+01
6.563863754272460938e+00,1.880280685424804688e+01
6.566657543182373047e+00,2.000687599182128906e+01
6.555493354797363281e+00,1.973239135742187500e+01
6.589935779571533203e+00,2.117620086669921875e+01
6.490397930145263672e+00,1.890734863281250000e+01
6.582461833953857422e+00,2.070052146911621094e+01
6.575361251831054688e+00,1.938941764831542969e+01
6.579042434692382812e+00,2.040294647216796875e+01
6.489043235778808594e+00,1.911323165893554688e+01
6.562716007232666016e+00,2.055509948730468750e+01
6.491967201232910156e+00,2.056213378906250000e+01
6.566887378692626953e+00,1.961274337768554688e+01
6.560380458831787109e+00,1.987949180603027344e+01
6.562598228454589844e+00,2.070640945434570312e+01
6.569274425506591797e+00,2.124485778808593750e+01
6.569494724273681641e+00,2.117987442016601562e+01
6.492480278015136719e+00,1.964291191101074219e+01
6.489587783813476562e+00,1.867584037780761719e+01
6.576631069183349609e+00,2.251508903503417969e+01
6.572419643402099609e+00,2.098662948608398438e+01
6.562611579895019531e+00,1.855683898925781250e+01
6.557443141937255859e+00,1.981974029541015625e+01
6.565197944641113281e+00,1.891985321044921875e+01
6.492543220520019531e+00,2.041899108886718750e+01
6.491417884826660156e+00,1.832369995117187500e+01
6.574954509735107422e+00,2.081387519836425781e+01
6.567632675170898438e+00,1.942175102233886719e+01
6.492406845092773438e+00,2.018461418151855469e+01
6.569713592529296875e+00,2.029011726379394531e+01
6.492245674133300781e+00,2.023082923889160156e+01
6.572828292846679688e+00,2.040359115600585938e+01
6.568069934844970703e+00,2.044239425659179688e+01
6.565683364868164062e+00,2.029935455322265625e+01
6.580028057098388672e+00,2.168008041381835938e+01
6.563022136688232422e+00,2.129975128173828125e+01
6.566889762878417969e+00,2.042454528808593750e+01
6.573588848114013672e+00,2.128844451904296875e+01
6.573475360870361328e+00,2.127667427062988281e+01
6.560069561004638672e+00,1.986707878112792969e+01
6.556267261505126953e+00,1.963790130615234375e+01
6.577310562133789062e+00,2.133838653564453125e+01
6.586414813995361328e+00,2.210191726684570312e+01
6.488168716430664062e+00,1.952045631408691406e+01
6.566984176635742188e+00,1.826225471496582031e+01
6.491704463958740234e+00,1.972887420654296875e+01
6.558226585388183594e+00,1.977889251708984375e+01
6.568651199340820312e+00,2.145558929443359375e+01
6.553859233856201172e+00,2.002515983581542969e+01
6.492112636566162109e+00,1.928297233581542969e+01
