# distance, SNR
6.570788383483886719e+00,2.392566680908203125e+01
6.580197811126708984e+00,2.277235412597656250e+01
6.576721191406250000e+00,2.323720932006835938e+01
6.572326183319091797e+00,2.293254661560058594e+01
6.573520183563232422e+00,2.159086227416992188e+01
6.573741912841796875e+00,2.238833999633789062e+01
6.554921150207519531e+00,2.210608673095703125e+01
6.573227405548095703e+00,2.248242378234863281e+01
6.555325031280517578e+00,2.049888801574707031e+01
6.571261882781982422e+00,2.204308319091796875e+01
6.580514430999755859e+00,2.257763290405273438e+01
6.560654640197753906e+00,2.218045997619628906e+01
6.557239055633544922e+00,2.177227020263671875e+01
6.572678089141845703e+00,2.309250640869140625e+01
6.573508262634277344e+00,2.488537216186523438e+01
6.578847408294677734e+00,2.232883644104003906e+01
6.572098731994628906e+00,2.212063980102539062e+01
6.561276435852050781e+00,2.189789199829101562e+01
6.564885139465332031e+00,2.248791885375976562e+01
6.563316345214843750e+00,2.267290878295898438e+01
6.567915916442871094e+00,2.374553680419921875e+01
6.574540615081787109e+00,2.333940696716308594e+01
6.581772804260253906e+00,2.327237319946289062e+01
6.581282138824462891e+00,2.240102386474609375e+01
6.582971096038818359e+00,2.343402481079101562e+01
6.568338394165039062e+00,2.252840042114257812e+01
6.560641288757324219e+00,2.144025802612304688e+01
6.575079441070556641e+00,2.331976318359375000e+01
6.576153278350830078e+00,2.293420410156250000e+01
6.575473785400390625e+00,2.307821083068847656e+01
6.584061145782470703e+00,2.274497222900390625e+01
6.579767704010009766e+00,2.232297134399414062e+01
6.571730136871337891e+00,2.121534729003906250e+01
6.563941001892089844e+00,2.212139320373535156e+01
6.581040382385253906e+00,2.342261886596679688e+01
6.578372955322265625e+00,2.223561859130859375e+01
6.566591739654541016e+00,2.250293922424316406e+01
6.561225891113281250e+00,2.163986968994140625e+01
6.560117721557617188e+00,2.227216720581054688e+01
6.563836574554443359e+00,2.214271545410156250e+01
6.570734977722167969e+00,2.261554908752441406e+01
6.569269657135009766e+00,2.244219589233398438e+01
6.570656299591064453e+00,2.276870727539062500e+01
6.573606967926025391e+00,2.326668548583984375e+01
6.572278022766113281e+00,2.256589698791503906e+01
6.572406768798828125e+00,2.303881454467773438e+01
6.574050903320312500e+00,2.405577850341796875e+01
6.576129436492919922e+00,2.460646629333496094e+01
6.568808555603027344e+00,2.366984939575195312e+01
6.574594974517822266e+00,2.371984481811523438e+01
6.566454887390136719e+00,2.315451812744140625e+01
6.567362308502197266e+00,2.271410369873046875e+01
6.572398662567138672e+00,2.304544067382812500e+01
6.579306602478027344e+00,2.258383178710937500e+01
6.555654525756835938e+00,2.376980972290039062e+01
6.556238174438476562e+00,2.180768585205078125e+01
6.578773021697998047e+00,2.375076484680175781e+01
6.565248966217041016e+00,2.206920242309570312e+01
6.568511486053466797e+00,2.332464408874511719e+01
6.555199146270751953e+00,2.114116287231445312e+01
6.569609642028808594e+00,2.183424758911132812e+01
6.567481994628906250e+00,2.231405639648437500e+01
6.556849002838134766e+00,2.186901092529296875e+01
6.571463584899902344e+00,2.255507469177246094e+01
6.579539299011230469e+00,2.161384963989257812e+01
6.580873489379882812e+00,2.199585151672363281e+01
6.567333221435546875e+00,2.160274124145507812e+01
6.570551872253417969e+00,2.328716468811035156e+01
6.573924064636230469e+00,2.309209442138671875e+01
6.570711135864257812e+00,2.378248596191406250e+01
6.568614006042480469e+00,2.233792114257812500e+01
6.559460163116455078e+00,2.067347717285156250e+01
6.568686485290527344e+00,2.197642898559570312e+01
6.573268890380859375e+00,2.264761352539062500e+01
6.571608066558837891e+00,2.132476425170898438e+01
6.555691719055175781e+00,2.132524681091308594e+01
6.554649353027343750e+00,2.126171493530273438e+01
6.566150188446044922e+00,2.144269752502441406e+01
6.562466621398925781e+00,2.137927055358886719e+01
6.581228256225585938e+00,2.247844505310058594e+01
6.568172454833984375e+00,2.122222900390625000e+01
6.573145389556884766e+00,2.148279380798339844e+01
6.577308177947998047e+00,2.102669525146484375e+01
6.581473350524902344e+00,2.234421539306640625e+01
6.582673549652099609e+00,2.079133033752441406e+01
6.576650619506835938e+00,2.034989356994628906e+01
6.582395553588867188e+00,2.202145385742187500e+01
6.576086521148681641e+00,2.062240600585937500e+01
6.592281818389892578e+00,2.331540679931640625e+01
6.595496177673339844e+00,2.079800033569335938e+01
6.588971138000488281e+00,2.090743255615234375e+01
6.574198722839355469e+00,2.087945747375488281e+01
6.591535091400146484e+00,2.227416038513183594e+01
6.581731319427490234e+00,2.118710517883300781e+01
6.584142684936523438e+00,2.254286003112792969e+01
6.567641258239746094e+00,2.308576774597167969e+01
6.568524360656738281e+00,2.252489089965820312e+01
6.482555389404296875e+00,2.076284027099609375e+01
6.490919589996337891e+00,2.259159851074218750e+01
6.485250949859619141e+00,2.140872764587402344e+01
